film_screening,film_creator,film_title,film_duration_human,film_filename,film_vimeo,film_url
05:09,Artavazd Peleshian,Beginning   (1967),9′,Peleshian_Artavazd_Beginning_1967.mp4,https://player.vimeo.com/video/129111564,http://ubuvideo.memoryoftheworld.org/Artavazd_Peleshian/Peleshian_Artavazd_Beginning_1967.mp4
05:19,Richard Phillips,Lindsay Lohan (2011),1′,Phillips-Richard_LINDSAY-LOHAN.mov,https://player.vimeo.com/video/135806228,http://ubuvideo.memoryoftheworld.org/Phillips-Richard_LINDSAY-LOHAN.mov
05:20,Cory Arcangel,Video Ravingz (2002),1′,Arcangel-Cory_Video-Ravingz_2002.mp4,https://player.vimeo.com/video/122679674,http://ubuvideo.memoryoftheworld.org/Arcangel-Cory_Video-Ravingz_2002.mp4
05:21,Jesper Just,Some Draughty Window (2007),7′,Just-Jesper_Some-Draughty-Window_2007.iphone.m4v,https://player.vimeo.com/video/134070718,http://ubuvideo.memoryoftheworld.org/Just-Jesper_Some-Draughty-Window_2007.iphone.m4v
05:29,Lars von Trier,Hvorfor flygte fra det du ved du ikke kan flygte fra? Fordi du er en kujon AKA Why Try to Escape from Which You Know You Can't Escape from? Because You Are a Coward (1970),8′,von-Trier-Lars_Hvorfor-flygte-fra-det-du-ved-du-ikke_1970.iphone.m4v,https://player.vimeo.com/video/135114955,http://ubuvideo.memoryoftheworld.org/von-Trier-Lars_Hvorfor-flygte-fra-det-du-ved-du-ikke_1970.iphone.m4v
05:37,Camille Henrot,Million Dollars Point (2011),5′,Henrot-Camille_Million-Dollars-Point.mp4,https://player.vimeo.com/video/134068923,http://ubuvideo.memoryoftheworld.org/Henrot-Camille_Million-Dollars-Point.mp4
05:43,Ivko Šešić,,9′,Sesic-Ivko_Krik_1978.mp4,https://player.vimeo.com/video/131733495,http://ubuvideo.memoryoftheworld.org/Sesic-Ivko_Krik_1978.mp4
05:53,Chris Habib,Gelitin (2010),5′,Visitor_gelitin_blind_installation_part1_2010.mp4,https://player.vimeo.com/video/135114896,http://ubuvideo.memoryoftheworld.org/Visitor_gelitin_blind_installation_part1_2010.mp4
05:58,Sam Taylor-Wood,Mute (2001),6′,Taylor-Wood-Sam_Mute_2001.mp4,https://player.vimeo.com/video/131793071,http://ubuvideo.memoryoftheworld.org/Taylor-Wood-Sam_Mute_2001.mp4
06:05,Bas Jan Ader,Selected Works,11′,Ader-Bas-Jan_SelectedWorks_1970-71.mp4,https://player.vimeo.com/video/126878214,http://ubuvideo.memoryoftheworld.org/Ader-Bas-Jan_SelectedWorks_1970-71.mp4
